Key,Source,Context,Changes,English,French,German,Klingon,Spanish
steelSpoonDesc,,,,"A steel spoon. yea! No more drinking soup from a can like an animal.",,,,
steelBracelet,,,,"Medical Bracelet",,,,  
steelBraceletDesc,,,,"A small steel medical bracelet. Probably didn't help the gal who was wearing it at the end.",,,,
steelDogBowl,,,,"Dog Bowl",,,,  
steelDogBowlDesc,,,,"A steel dog bowl...I wonder where the dog is?...",,,,
steelFork,,,,"Steel Fork",,,,  
steelForkDesc,,,,"A steel fork. yea! No more eating with my hands.",,,,
steelButterKnife,,,,"Butter Knife",,,,  
steelButterKnifeDesc,,,,"A small steel butter knife for a world without butter.",,,,
glassPurfume,,,,"Purfume Bottle",,,,  
glassPurfumeDesc,,,,"A small empty perfume bottle.  Still has a faint smell of lilacs.",,,,
glassCompact,,,,"Compact",,,,  
glassCompactDesc,,,,"A small glass makeup compact.  Not much use now.",,,,
glassFrame,,,,"Picture Frame",,,,  
glassFrameDesc,,,,"A small photo frame.  Man that zombie chick looks nice!",,,,
glassEye,,,,"Glass Eye",,,,  
glassEyeDesc,,,,"A small glass eye.  Ewwwwwwww.",,,,
glassBong,,,,"Glass Bong",,,,  
glassBongDesc,,,,"A small Bong pipe.  Time to find something to put in it!",,,,
